App Name,Description,Industry/Field
1800Flowers,Shop flowers and gifts,E-commerce / Gifts & Flowers
AbhiBus,Find Buses,Travel / Bus Tickets
AccuWeather®,Hyper-local forecasts & alerts,Weather
ADAC Mietwagen,Günstige Mietwagen weltweit (Cheap rental cars worldwide),Travel / Car Rental
ALL Accor,Search and book Accor hotels,Travel / Hotels
AllTrails,Discover your next hike,Outdoors / Hiking
Almosafer.com,"Find hotels, resorts and more",Travel / Hotels
Alton Towers Tickets,Browse tickets and more,Entertainment / Theme Parks
Apartment List,Smarter apartment search,Real Estate / Rentals
Apple Music,Build playlists and find music,Music / Streaming
artue,Find art with natural language,Art / Discovery
Atlys,Get Your Visa on Time,Travel / Visa Services
Autoinsurance.net,Smarter Auto Insurance Search,Insurance / Auto
AutoScout24,Automobile buying and leasing,Automotive / Marketplace
Autotrader (US),Search for new and used cars,Automotive / Marketplace
Autotrader (UK),Buy and sell new and used cars,Automotive / Marketplace
AutoTrader,"Cars, Motorcycles, Boats Deals",Automotive / Marketplace
Autovit.ro,Find your dream car in Autovit,Automotive / Marketplace (Romania)
Bible,Find and read Bible verses,Religion / Spirituality
Bites,Discover and order food,Food Delivery
BODi,Find your best workout plan,Fitness / Health
Booking.com,"Find hotels, homes and more",Travel / Accommodation
Boxoffice,Find theaters and movie times,Entertainment / Movies
Burger King,Find BK locations and offers,Food / Quick Service Restaurant
Busbud,Find bus and train tickets,Travel / Bus & Train
Buson,Bus tickets in Brazil,Travel / Bus Tickets (Brazil)
Cafe24,"Search, explore, and shop",E-commerce (Korea)
Calorie Tracker Guide,Find the right calorie tracker,Health / Nutrition
CalorieCam,Personalised nutrition plans,Health / Nutrition
CARFAX,Shop new & used cars,Automotive / Vehicle History
CarGurus,"Find, buy, and research cars",Automotive / Marketplace
CarMax,Buy and sell used cars,Automotive / Marketplace
CARS24,Find your dream car,Automotive / Marketplace
coches.net,Find new and used cars,Automotive / Marketplace (Spain)
Cottages,Discover UK holiday cottages,Travel / Vacation Rentals
Cowboy Model Finder,Find your perfect Cowboy ebike,E-commerce / E-bikes
Cruise Critic,Find cruise vacations,Travel / Cruises
DealPilot,Find Verified Coupon Codes,E-commerce / Coupons
DoneDeal,Find the most new & used cars,Automotive / Marketplace (Ireland)
DoorDash,Quick delivery on groceries,Food Delivery / Groceries
Dupe,Find similar products for less,E-commerce / Shopping
Edmunds,Instant offers for your car,Automotive / Marketplace
eDreams,Find the best deals on flights,Travel / Flights
Expedia,"Plan trips, flights and hotels",Travel / Booking
Experian Insurance,Quick auto insurance estimates,Insurance / Auto
Faire Wholesale,Discover wholesale products,E-commerce / Wholesale
FareHarbor,Find tours and activities,Travel / Tours
FINN,Just drive FINN,Automotive / Car Subscription
Firehouse Subs,Find locations and offers,Food / Quick Service Restaurant
Flight Network,Search and book flights,Travel / Flights
Flixor,Movie & TV Recommender,Entertainment / Recommendations
Gametime - Last Minute Tickets,Sports & Concert Tickets,Entertainment / Tickets
GetYourGuide,Book Tours & Activities,Travel / Activities
hepsiemlak,Find Your Home with Ease,Real Estate (Turkey)
Hyatt,Find hotels and resorts,Travel / Hotels
idealista,Find properties to buy or rent,Real Estate (Spain)
Insight Timer,Meditation and Sleep Library,Wellness / Meditation
Instacart,Groceries and more delivered,Grocery Delivery
Insurify,Compare car insurance quotes,Insurance / Auto
ixigo,"Find Flights, Hotels and more",Travel / Booking (India)
