Name: Performance
"Time period: Mar 7, 2026 - Apr 3, 2026"
"Filters: Traffic = Organic, Ads"
Title,Impressions,Clicks,CTR,Purchases,Purchase rate
DAFNI KLIX - the icon - Iconic Edit - Set of 2,10327,272,0.02633872,2,0.09090909
DAFNI KLIX - THE BOW - Black,6969,191,0.02740709,8,0.04968944
DAFNI KLIX - THE BOW - Rose Gold,10922,145,0.01327596,1,0
DAFNI KLIX - the minimalist - Golden Hour - Set of 3,9170,74,0.00806979,5,0.11904762
DAFNI KLIX - the icon - Amber,4156,73,0.01756497,2,0.22222222
DAFNI KLIX - the icon - Black,3585,51,0.01422594,2,0.11764706
DAFNI KLIX - the icon - Urban Oasis - Set of 2,8120,48,0.00591133,2,0.06666667
DAFNI KLIX - THE BOW - Burgundy- Limited Edition,2889,40,0.01384562,0,0
DAFNI Muse - Hair Styling and Straightening Brush,2408,39,0.01619601,0,0
DAFNI KLIX - the icon - Sandstone - Set of 2,2548,30,0.01177394,0,0
DAFNI KLIX - THE BOW - Navy,2675,26,0.00971963,0,0
DAFNI KLIX - the minimalist - Amber,3552,25,0.00703829,3,0.14285714
DAFNI Power Hair Straightening Brush,2640,23,0.00871212,0,0
DAFNI KLIX - the minimalist - Black,3561,22,0.00617804,2,0.1
DAFNI KLIX - the minimalist - Eternal Blush - Set of 3,2951,14,0.00474415,0,0
DAFNI KLIX - the icon - Tropical Sunset - Set of 2,2190,12,0.00547945,0,0
DAFNI KLIX - THE BOW - Pearl White,703,10,0.01422475,0,0
DAFNI KLIX - the minimalist - Iconic Edit - Set of 3,1707,10,0.00585823,1,0.2
DAFNI KLIX - the minimalist - Sandstone - Set of 3,2154,10,0.00464253,0,0
DAFNI KLIX - THE CHUNKY BOW - Rose Gold,542,6,0.01107011,0,0
DAFNI KLIX - the icon - Turquoise,742,5,0.00673854,0,0
DAFNI KLIX - THE CHUNKY BOW -Lavender,589,4,0.00679117,0,0
DAFNI KLIX - the icon - Eternal Blush - Set of 2,290,4,0.0137931,0,0
DAFNI KLIX - the minimalist - Peach,1218,3,0.00246305,0,0
DAFNI KLIX - the minimalist - Turquoise,1189,2,0.00168209,0,0
DAFNI active - cordless hair straightening brush,392,1,0.00255102,0,0
Ready to go,95,1,0.01052632,1,1
DAFNI Enriching Hair Serum,0,0,0,0,0
DAFNI KLIX - THE CHUNKY BOW - Pearl White,207,0,0,0,0
DAFNI Super-Absorbent Microfiber Head Towel,0,0,0,0,0
Dafni Unlimited,163,0,0,0,0
The Parisian Set,248,0,0,0,0
The Signature Set,0,0,0,0,0
The Urban Edit,35,0,0,0,0
