"Product title","Total sales"
"DAFNI KLIX - the icon -  Iconic Edit - Set of 2",54222.83
"DAFNI KLIX - the icon -  Sandstone - Set of 2",39840.7
,27446.86
"DAFNI KLIX - THE BOW - Black",18257.1
"DAFNI KLIX - the minimalist - Iconic Edit - Set of 3",16857.65
"DAFNI KLIX - THE BOW - Rose Gold",15001.07
"DAFNI KLIX - the icon -  Urban Oasis - Set of 2",12828.66
"DAFNI KLIX - THE BOW - Pearl White",10354.57
"DAFNI KLIX - THE BOW - Burgundy- Limited Edition",8737.23
"DAFNI KLIX - THE BOW - Navy",7035.64
"DAFNI KLIX - the icon - Amber",6200.3
"DAFNI KLIX - the minimalist - Golden Hour - Set of 3",6087.7
"DAFNI KLIX - the minimalist - Sandstone - Set of 3",5835.69
"DAFNI KLIX - the minimalist - Eternal Blush - Set of 3",5139.73
"DAFNI KLIX - the icon - Black",4838.66
"DAFNI KLIX - the icon - Tropical Sunset - Set of 2",4444.5
"DAFNI Power - The Original Hair Straightening Brush",3213.26
"DAFNI KLIX - THE CHUNKY BOW -Lavender",3081.86
"DAFNI KLIX - THE CHUNKY BOW - Rose Gold",2903.07
"DAFNI KLIX - the minimalist - Black",2437.67
"DAFNI KLIX - the minimalist - Amber",2420.15
"DAFNI KLIX - THE CHUNKY BOW - Pearl White",2200.81
"DAFNI KLIX - the icon -  Eternal Blush - Set of 2",1497.41
"DAFNI Muse - Hair Styling and Straightening Brush",1130.01
"DAFNI active - cordless hair straightening brush",980.13
"DAFNI KLIX - the minimalist - Turquoise",720.19
"DAFNI KLIX - the icon - Turquoise",715.03
"DAFNI KLIX - the minimalist - Peach",261
