Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Redemption eligible (product.metafields.app--22258319361--tyb.redemption_eligible),linked color products (product.metafields.custom.linked_color_products),swatch color (product.metafields.custom.swatch_color),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Age group (product.metafields.shopify.age-group),Color (product.metafields.shopify.color-pattern),Fabric (product.metafields.shopify.fabric),Hair styling tool features (product.metafields.shopify.hair-styling-tool-features),Target gender (product.metafields.shopify.target-gender),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Australia,Price / Australia,Compare At Price / Australia,Included / India,Price / India,Compare At Price / India,Status
dafni-klix-the-chunky-bow-lavender,DAFNI KLIX - THE CHUNKY BOW -Lavender,"<h3>The Ultimate Clean Girl Hair bow is finally here!</h3>
<ul>
<li>
<strong>Finally, effortless made easy</strong> get the bow you always wanted strongly secure in a click</li>
<li>
<strong>Strong Magnetic Hold</strong> – No slipping, no tugging<meta charset=""utf-8"">
</li>
<li>
<strong>Endless iconic hairstyles </strong>are a click away.</li>
<li>Patent pending.</li>
</ul>
<p data-end=""110"" data-start=""58""><strong data-end=""78"" data-start=""58"">Color:</strong><br data-end=""81"" data-start=""78"">Lavender.</p>
<p data-end=""110"" data-start=""58""><strong>Size: <br></strong><meta charset=""utf-8"">Thoughtfully designed at 7"" × 3.5"".<br></p>
<p data-end=""182"" data-start=""112""> </p>",DAFNI®,"Apparel & Accessories > Clothing Accessories > Hair Accessories > Hair Pins, Claws & Clips",BOWS,"",true,Title,Default Title,,,,,,,,KX3CH-1LV,72.5747792,shopify,continue,manual,25.00,,true,true,,,,,'0791689995960,https://cdn.shopify.com/s/files/1/0765/0102/5069/files/chunky_bow_lavender.png?v=1774422736,1,"",false,,,171,,,,,,,,,,,,dafni-klix-the-bow-rose-gold-copy-1; dafni-klix-the-chunky-bow-pearl-white; dafni-klix-the-chunky-bow-lavender,#F4DFF6,,,,,,,,,lb,,,true,,,false,,,active
dafni-klix-the-chunky-bow-lavender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0765/0102/5069/files/dafni_chunkybow_LILACH02.jpg?v=1774422736,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dafni-klix-the-chunky-bow-lavender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0765/0102/5069/files/dafni_chunkybow_LILACH03.jpg?v=1774422736,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dafni-klix-the-chunky-bow-lavender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0765/0102/5069/files/dafni_chunkybow_LILACH01.jpg?v=1774422736,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dafni-klix-the-chunky-bow-pearl-white,DAFNI KLIX - THE CHUNKY BOW - Pearl White,"<h3>The Ultimate Clean Girl Hair bow is finally here!</h3>
<ul>
<li>
<strong>Finally, effortless made easy</strong> get the bow you always wanted strongly secure in a click</li>
<li>
<strong>Strong Magnetic Hold</strong> – No slipping, no tugging<meta charset=""utf-8"">
</li>
<li>
<strong>Endless iconic hairstyles </strong>are a click away.</li>
<li>Patent pending.</li>
</ul>
<p data-end=""110"" data-start=""58""><strong data-end=""78"" data-start=""58"">Color:</strong><br data-end=""81"" data-start=""78"">Pearl White.</p>
<p data-end=""110"" data-start=""58""><strong>Size: <br></strong><meta charset=""utf-8"">Thoughtfully designed at 7"" × 3.5"".<br></p>
<p data-end=""182"" data-start=""112""> </p>",DAFNI®,"Apparel & Accessories > Clothing Accessories > Hair Accessories > Hair Pins, Claws & Clips",BOWS,"",true,Title,Default Title,,,,,,,,KX3CH-1W,72.5747792,shopify,continue,manual,25.00,,true,true,,,,,'0791689995977,https://cdn.shopify.com/s/files/1/0765/0102/5069/files/chunky_white_pre_order.png?v=1774422720,1,"",false,,,171,,,,,,,,,,,,dafni-klix-the-bow-rose-gold-copy-1; dafni-klix-the-chunky-bow-pearl-white; dafni-klix-the-chunky-bow-lavender,#F8F6F0,,,,,,,,,lb,,,true,,,false,,,active
dafni-klix-the-chunky-bow-pearl-white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0765/0102/5069/files/dafni_chunkybow_WHITE02.jpg?v=1774422720,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dafni-klix-the-chunky-bow-pearl-white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0765/0102/5069/files/dafni_chunkybow_WHITE03.jpg?v=1774422720,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dafni-klix-the-chunky-bow-pearl-white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0765/0102/5069/files/dafni_chunkybow_WHITE01.jpg?v=1774422720,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dafni-klix-the-bow-rose-gold-copy-1,DAFNI KLIX - THE CHUNKY BOW - Rose Gold,"<h3>The Ultimate Clean Girl Hair bow is finally here!</h3>
<ul>
<li>
<strong>Finally, effortless made easy</strong> get the bow you always wanted strongly secure in a click</li>
<li>
<strong>Strong Magnetic Hold</strong> – No slipping, no tugging<meta charset=""utf-8"">
</li>
<li>
<strong>Endless iconic hairstyles </strong>are a click away.</li>
<li>Patent pending.</li>
</ul>
<p data-end=""110"" data-start=""58""><strong data-end=""78"" data-start=""58"">Color:</strong><br data-end=""81"" data-start=""78"">Rose gold.</p>
<p data-end=""110"" data-start=""58""><strong>Size: <br></strong><meta charset=""utf-8"">Thoughtfully designed at 7"" × 3.5"".<br></p>
<p data-end=""182"" data-start=""112""> </p>",DAFNI®,"Apparel & Accessories > Clothing Accessories > Hair Accessories > Hair Pins, Claws & Clips",BOWS,"",true,Title,Default Title,,,,,,,,KX3CH-1RG,72.5747792,shopify,continue,manual,25.00,,true,true,,,,,'0791689995953,https://cdn.shopify.com/s/files/1/0765/0102/5069/files/chunky_rose_pre_order.png?v=1774422705,1,"",false,,,171,,,,,,,,,,,,dafni-klix-the-chunky-bow-pearl-white; dafni-klix-the-bow-rose-gold-copy-1; dafni-klix-the-chunky-bow-lavender,#d7b399,,,,,,,,,lb,,,true,,,false,,,active
dafni-klix-the-bow-rose-gold-copy-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0765/0102/5069/files/dafni_chunkybow_PINK02.jpg?v=1774422705,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
