Name: Performance
"Time period: Mar 4, 2026 - Mar 31, 2026"
"Filters: Traffic = Organic, Ads"
Title,Impressions,Clicks,CTR,Purchases,Purchase rate
(M) Sterling Silver Knot Ottoman,11513,188,0.01632937,0,0
"Citron Velvet Woven Bench 47""",23113,184,0.00796089,0,0
(L) Burgundy Knot Ottoman,19082,146,0.00765119,0,0
(L) Sterling Silver Knot Ottoman,4621,72,0.01558104,0,0
Set Of 3 Baskets- Graphite,3163,57,0.01802087,0,0
"Ivory Velvet Woven Bench 37""",8813,55,0.00624078,0,0
"Mauve Velvet Woven Bench 37""",4497,32,0.00711586,0,0
(L) Citron Knot Ottoman,3865,27,0.00698577,0,0
"Burgundy Velvet Woven Bench 47""",3580,22,0.00614525,0,0
(L) Mauve Knot Ottoman,5530,21,0.00379747,0,0
(L) Ivory Knot Ottoman,3859,17,0.00440529,0,0
Set Of 3 Baskets- Red Earth,1720,17,0.00988372,0,0
Set Of 3 Baskets- Stone,1045,13,0.01244019,0,0
"Petrol Velvet Woven Bench 37""",525,6,0.01142857,0,0
"Burgundy Velvet Woven Bench 37""",692,5,0.00722543,0,0
Set Of 3 Baskets- Cobalt Blue,1069,4,0.00374181,0,0
(M) Ivory Knot Ottoman,943,3,0.00318134,0,0
(M) Burgundy Knot Ottoman,70,2,0.02857143,0,0
(M) Ivory Knot Ottoman,0,2,0,0,0
(L) Petrol Knot Ottoman,139,1,0.00719424,0,0
(M) Burgundy Knot Ottoman,827,1,0.00120919,0,0
(M) Citron Knot Ottoman,353,1,0.00283286,0,0
(M) Hull Basket in Red Earth Ultra suede,34,1,0.02941176,0,0
(M) Petrol Knot Ottoman,1031,1,0.00096993,0,0
(M) Truffle Knot Ottoman,0,1,0,0,0
(S) Hull Basket in Graphite Ultra suede,25,1,0.04,0,0
"Burgundy Velvet Woven Bench 37""",176,1,0.00568182,0,0
Citron Velvet Knot Pillow,132,1,0.00757576,0,0
"Citron Velvet Woven Bench 37""",26,1,0.03846154,0,0
Ivory Velvet Knot Pillow,246,1,0.00406504,0,0
"Ivory Velvet Woven Bench 47""",33,1,0.03030303,0,0
Truffle Velvet Knot Pillow,72,1,0.01388889,0,0
(L) Burgundy Knot Ottoman,32,0,0,0,0
(L) Citron Knot Ottoman,0,0,0,0,0
(L) Citron Velvet Knot Floor Cushion,0,0,0,0,0
(L) Hull Basket in Cobalt Ultra suede,0,0,0,0,0
(L) Hull Basket in Cobalt Ultra suede,0,0,0,0,0
(L) Hull Basket in Graphite Ultra suede,0,0,0,0,0
(L) Hull Basket in Graphite Ultra suede,0,0,0,0,0
(L) Hull Basket in Red Earth Ultra suede,63,0,0,0,0
(L) Hull Basket in Red Earth Ultra suede,0,0,0,0,0
(L) Hull Basket in Stone Ultra suede,38,0,0,0,0
(L) Hull Basket in Stone Ultra suede,0,0,0,0,0
(L) Ivory Knot Ottoman,0,0,0,0,0
(L) Mauve Knot Ottoman,0,0,0,0,0
(L) Petrol Knot Ottoman,0,0,0,0,0
(L) Sterling Silver Knot Ottoman,0,0,0,0,0
(L) Truffle Knot Ottoman,0,0,0,0,0
(L) Truffle Knot Ottoman,0,0,0,0,0
(M) Citron Knot Ottoman,0,0,0,0,0
(M) Citron Velvet Knot Floor Cushion,0,0,0,0,0
(M) Hull Basket in Cobalt Ultra suede,0,0,0,0,0
(M) Hull Basket in Graphite Ultra suede,0,0,0,0,0
(M) Hull Basket in Graphite Ultra suede,25,0,0,0,0
