title	id	price	sale price	condition	availability	channel	feed label	language	additional image link	all clicks	brand	color	description	google product category	image link	item group id	link	merchant item id	modification info(modification source:modifier)	product detail(attribute name:attribute value:section name)	product type	purchasable without shipping	rating average	rating count	sell on google quantity	shipping(country)	shipping weight	size	sku
Truffle Velvet Knot Pillow	shopify_US_8483677667483_46362812186779	125.00 USD	100.00 USD		in stock	Online	USD_649363611	en	https://cdn.shopify.com/s/files/1/1129/5340/files/ivorypillowp.jpg?v=1749728902,https://cdn.shopify.com/s/files/1/1129/5340/files/truffpillow_fb892148-b178-4d05-a70c-9e3dd3ed8ddc.jpg?v=1749728902	0	knots studio		This unique Knot cushion is inspired by nautical elements and aesthetics. The cushion utilizes a unique tying technique that makes the cushion beautiful and fun	home & garden > linens & bedding > bedding > pillows	https://cdn.shopify.com/s/files/1/1129/5340/files/trufll.jpg?v=1747528894		https://www.knots-studio.com/products/ivory-velvet-knot-pillow-new?variant=46362812186779&country=AE&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic	gid://shopify/ProductVariant/46362812186779	third party shopify:third party syncing		Knot Pillow				6		0.3 kg		10010Trf
"Petrol Velvet Woven Bench 47"""	shopify_US_8489417965723_46392749949083	995.00 USD	896.00 USD		in stock	Online	US	en	https://cdn.shopify.com/s/files/1/1129/5340/files/petrolstool_3ea87cc5-3e08-43a1-88a0-f12a0f411d1c.jpg?v=1753181356,https://cdn.shopify.com/s/files/1/1129/5340/files/petrolstool3_723e0205-0a75-4396-a079-b3dcbba6093b.jpg?v=1747521433,https://cdn.shopify.com/s/files/1/1129/5340/files/petrolstool2_9c37f42c-d198-4903-9041-c0a6ab86ae60.jpg?v=1747521433,https://cdn.shopify.com/s/files/1/1129/5340/files/All_benches-03.jpg?v=1754771036	0	Knots Studio		"Born of appreciation for elegance, the weaved bench is a handmade piece that brings a sculptural, playful air to any entryway or living space.

Each bench is crafted with care using a weaving technique that blends fine velvet fabric and natural Beechwood that is beautiful, functional and lasts for years."	furniture > benches	https://cdn.shopify.com/s/files/1/1129/5340/files/petrol_bench.jpg?v=1747521449	shopify_US_8489417965723	https://www.knots-studio.com/products/petrol-velvet-woven-bench?variant=46392749949083&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic	gid://shopify/ProductVariant/46392749949083	third party shopify:third party syncing	size:"47""":Variant	Woven bench				11		9 kg	"47"""	20047Ptr
Burgundy Velvet Knot Pillow	shopify_US_8483677634715_46362812154011	125.00 USD	100.00 USD		in stock	Online	USD_649363611	en	https://cdn.shopify.com/s/files/1/1129/5340/files/burgpillow.jpg?v=1746959226	0	knots studio		This unique Knot cushion is inspired by nautical elements and aesthetics. The cushion utilizes a unique tying technique that makes the cushion beautiful and fun	home & garden > linens & bedding > bedding > pillows	https://cdn.shopify.com/s/files/1/1129/5340/files/burg_p.jpg?v=1746959226		https://www.knots-studio.com/products/burgandy-velvet-knot-pillow-new?variant=46362812154011&country=AE&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic	gid://shopify/ProductVariant/46362812154011	third party shopify:third party syncing		Knot Pillow						0.3 kg		10010Brg
(L) Burgundy Knot Ottoman	shopify_US_8483261448347_46361334874267	698.00 USD	625.00 USD		in stock	Online	USD_649363611	en	https://cdn.shopify.com/s/files/1/1129/5340/files/burgl.jpg?v=1746876976,https://cdn.shopify.com/s/files/1/1129/5340/files/bur.jpg?v=1746879762,https://cdn.shopify.com/s/files/1/1129/5340/files/burg2.jpg?v=1746879762	0	knots studio		This unique Knot cushion is inspired by nautical elements and aesthetics. The cushion utilizes a unique tying technique that makes the cushion beautiful and fun	home & garden > decor > ottoman cushions	https://cdn.shopify.com/s/files/1/1129/5340/files/burg.jpg?v=1746876976		https://www.knots-studio.com/products/l-burgandy-knot-floor-cushion-new?variant=46361334874267&country=AE&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic	gid://shopify/ProductVariant/46361334874267	third party shopify:third party syncing		Large knot cushion				9		8 kg		10030Brg
(L) Sterling Silver Knot Ottoman	shopify_US_8483262365851_46361339199643	698.00 USD	625.00 USD		in stock	Online	USD_649363611	en	https://cdn.shopify.com/s/files/1/1129/5340/files/silver2.jpg?v=1754766659,https://cdn.shopify.com/s/files/1/1129/5340/files/silver3.jpg?v=1754766659,https://cdn.shopify.com/s/files/1/1129/5340/files/silver1.jpg?v=1754766659	0	knots studio		This unique Knot cushion is inspired by nautical elements and aesthetics. The cushion utilizes a unique tying technique that makes the cushion beautiful and fun	home & garden > decor > ottoman cushions	https://cdn.shopify.com/s/files/1/1129/5340/files/C0B7AD8A-019F-4CED-B5EC-991CF7391051.png?v=1754766660		https://www.knots-studio.com/products/l-sterling-silver-knot-floor-cushion-new?variant=46361339199643&country=AE&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic	gid://shopify/ProductVariant/46361339199643	third party shopify:third party syncing		Large knot cushion				5		8 kg		10030Gry
Knots Studio Gift Card $500.00	shopify_US_7900041969819_44248224563355	500.00 USD			in stock	Online	US	en		0	Knots Studio		"Our Knots gift card is the perfect solution for when you're unsure of what to gift! Not sure what to get someone special? Give them the freedom to choose with a Knots gift card. It's an effortless way to ensure they receive exactly what they want. Upon purchase, the gift card is conveniently delivered via email and comes with simple instructions for redemption at checkout."		https://cdn.shopify.com/s/files/1/1129/5340/files/aKnotsgiftcardforyou_4.png?v=1765894025	shopify_US_7900041969819	https://www.knots-studio.com/products/knots-studio-gift-card?variant=44248224563355&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic	gid://shopify/ProductVariant/44248224563355	third party shopify:third party syncing	gift card amount:$500.00:Variant		true					0 kg		
"Ivory Velvet Woven Bench 37"""	shopify_US_8489417703579_46392747753627	845.00 USD	746.00 USD		in stock	Online	US	en	https://cdn.shopify.com/s/files/1/1129/5340/files/A038F31F-29B0-4FAD-9AA0-8D8DA07370D0.jpg?v=1754769838,https://cdn.shopify.com/s/files/1/1129/5340/files/ivory2copy2_ac97268c-fa18-4d5f-bf67-9d85b4bf877f.jpg?v=1754769838,https://cdn.shopify.com/s/files/1/1129/5340/files/All_benches-03.jpg?v=1754771036,https://cdn.shopify.com/s/files/1/1129/5340/files/ivory2.jpg?v=1754769838	55	Knots Studio		"Born of appreciation for elegance, the weaved bench is a handmade piece that brings a sculptural, playful air to any entryway or living space.

Each bench is crafted with care using a weaving technique that blends fine velvet fabric and natural Beechwood that is beautiful, functional and lasts for years."	furniture > benches	https://cdn.shopify.com/s/files/1/1129/5340/files/ivory120.jpg?v=1754769838	shopify_US_8489417703579	https://www.knots-studio.com/products/ivory-velvet-woven-bench?variant=46392747753627&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic	gid://shopify/ProductVariant/46392747753627	third party shopify:third party syncing	size:"37""":Variant	Woven bench				14		6.9 kg	"37"""	20037Ivr
Mauve Velvet Woven Stool	shopify_US_8489403154587_46392679399579	465.00 USD	418.00 USD		in stock	Online	USD_649363611	en	https://cdn.shopify.com/s/files/1/1129/5340/files/mauvestools4.jpg?v=1770899152,https://cdn.shopify.com/s/files/1/1129/5340/files/2V8A7796_99a8df7b-e3c2-4cb9-9824-e74b3202f148.jpg?v=1770899152,https://cdn.shopify.com/s/files/1/1129/5340/files/2V8A7798.jpg3.jpg?v=1770898960,https://cdn.shopify.com/s/files/1/1129/5340/files/mauvestool1.jpg?v=1770898960,https://cdn.shopify.com/s/files/1/1129/5340/files/mauvestools3.jpg?v=1770898960	0	Knots Studio		"Expertly crafted with a blend of fine velvet fabric and natural Beechwood, the hand-woven stool enhances any entryway or living space with its elegant and playful design. This lasting piece combines beauty and functionality, creating a stunning addition to your home."	furniture > chairs	https://cdn.shopify.com/s/files/1/1129/5340/files/mauvestools2.jpg?v=1770899152		https://www.knots-studio.com/products/mauve-velvet-woven-stool-1?variant=46392679399579&country=AE&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic	gid://shopify/ProductVariant/46392679399579	third party shopify:third party syncing		Woven stool				11		4 kg		20017Mve
(M) Sterling Silver Knot Ottoman	shopify_US_8483263217819_47944884682907	401.00 USD			in stock	Online	US	en	https://cdn.shopify.com/s/files/1/1129/5340/files/m_silver.jpg?v=1754766497,https://cdn.shopify.com/s/files/1/1129/5340/files/silver_m2.jpg?v=1754766497,https://cdn.shopify.com/s/files/1/1129/5340/files/silver1.jpg?v=1754766659	188	knots studio		This unique Knot cushion is inspired by nautical elements and aesthetics. The cushion utilizes a unique tying technique that makes the cushion beautiful and fun	home & garden > decor > ottoman cushions	https://cdn.shopify.com/s/files/1/1129/5340/files/00B731BC-59D4-4739-9B2B-551BA117FB99.jpg?v=1754766497		https://www.knots-studio.com/products/m-sterling-silver-knot-floor-cushion-new-copy?variant=47944884682907&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic	gid://shopify/ProductVariant/47944884682907	third party shopify:third party syncing		Medium Knot Cushion				7		4 kg		10020Gry
Sailor's Buoy in Cream	shopify_US_7380442087579_42441963929755	155.00 USD			out of stock	Online	US	en	https://cdn.shopify.com/s/files/1/1129/5340/products/piloow200031_ac67018a-1545-4471-8516-55ce36a9b5af.jpg?v=1666858327,https://cdn.shopify.com/s/files/1/1129/5340/products/piloow20116_9368912c-e507-4166-99ab-011887dd7941.jpg?v=1666858327	0	Knots Studio		"Add a whimsical touch to your space with our Buoys collection. The inspiration for this collection came from watching the buoys hanging on the Boats of the Jaffa's old port. These cushions are sure to brighten up your home, adding a nautical appeal to the design. A perfect accent piece for the living room, bedroom and office. Each Cushion is made by our talented team. Size: ø16cm/ 6.5 inchLength : 67cm / 26 inch Materials: stiff foam filling, upholstery materials, polyester vegan suede fabric.Care: Spot clean with cold water and mild soap. Vacuum once a week to keep the fabric fresh and clean. Production and shipping time: We make each piece to order in our studio. Please allow 10 - 15 business days for us to make & ship your purchase. We accept Mastercard, Visa, and American Express. You can make up to 3 payments without any commission. We also accept PayPal for your convenience. Buyers are responsible for any customs and import taxes that may apply. We are not responsible for delays due to customs. Please Read about our shipping, refunds and exchanges policies. For any thoughts or questions please send us a Message and We'll be happy to answer ASAP."	home & garden > decor > throw pillows	https://cdn.shopify.com/s/files/1/1129/5340/products/piloow7132.jpg?v=1655116080		https://www.knots-studio.com/products/of-sailor-buoy-in-white?variant=42441963929755&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic	gid://shopify/ProductVariant/42441963929755	third party shopify:third party syncing		sale	true			0		0.3 kg		911
