Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Care (product.metafields.custom.care),Description (product.metafields.custom.description1),description (product.metafields.custom.description2),free shipping in the USA (product.metafields.custom.free_shipping_in_the_usa),HID (product.metafields.custom.hid),materials  (product.metafields.custom.materials_),Measurments (product.metafields.custom.measurments),placemats (product.metafields.custom.placemats),Related Size - Large (product.metafields.custom.related_size_large),Related Size - Medium (product.metafields.custom.related_size_medium),shipping and returns  (product.metafields.custom.shipping_and_returns),TINUUID (product.metafields.custom.tinuuid),Care guide (product.metafields.descriptors.care_guide),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Care instructions (product.metafields.shopify.care-instructions),Color (product.metafields.shopify.color-pattern),Cover color (product.metafields.shopify.cover-color),Cover material (product.metafields.shopify.cover-material),Fabric (product.metafields.shopify.fabric),Shape (product.metafields.shopify.shape),Throw pillow shape (product.metafields.shopify.throw-pillow-shape),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
set-of-3-baskets-cobalt-blue,Set Of 3 Baskets- Cobalt Blue,"<p><span>Transform your space with our handcrafted storage baskets that bring sophisticated organization to your bedroom, living room, or entryway. Each basket is meticulously crafted by hand, creating a unique accent piece that serves both functional and aesthetic purposes. Perfect for shelves or floor placement, these versatile baskets elevate your home's style while keeping your space beautifully organized.</span></p>",Knots Studio,Home & Garden > Decor > Baskets,Set of 3 Baskets,Basket sets,true,Title,Default Title,,,,,,,,30060blu,3000.0,shopify,deny,manual,446.00,595.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/1129/5340/files/Neta_tesler_change_the_color_of_the_baskets_to_the_blue_color_in_the_photo_of_0eb60bfe-4c47-400b-b813-0177ba9afc9a_upscaled.png?v=1771851528,1,"",false,,,573,,,,,,,,,,,,,,,,"Beech wood, Stiff foam, polyester vegan suede fabric.","L size: Diameter: 52 cm/ 20 inch. Height: 45 cm / 18 inch    
M size: Diameter: ﻿39 cm/ 15.5 inch Height: 35 cm / 13.3 inch
S size:Diameter: ﻿33 cm/ 13 inch Height: 25 cm / 10 inch",,,,"Domestic Shipping (USA) All items ship directly from our US warehouse. Once we notify you that your order has shipped, standard delivery takes 5-7 business days. With over a decade of shipping experience, we guarantee your order will arrive safely.

International Shipping We offer worldwide shipping with the following estimated delivery times:

USA- 5-7 days
Europe :5-7 days
Asia: 7-10 days
Rest of world: 7-14 business days
Returns: We accept returns within 30 days of delivery. Please note that final sale items are ineligible for return.

How to Initiate a Return: If you decide to return your item, please contact us within 30 days of delivery by emailing info@knots-studio.com. We'll send you a prepaid shipping label to make the process easy.

Return Process: Returns for store credit and exchanges are free. Items must be in new, undamaged condition. They also must be returned in original, protective packaging to ensure your return arrives safe and sound.

Once you ship the item back using our provided label and it arrives at our warehouse, our team will inspect it to ensure everything is in perfect condition.

Refunds: Once the item is collected and inspected, your refund will be processed to the original form of payment. Please note:

Return shipping costs will be deducted
A $10 processing fee applies to all refunds
Store credit and exchanges are free from these fees

Important Information for International Customers Please be aware that customs duties and import taxes may apply to US and international orders. Buyers are responsible for any applicable customs fees, import duties, or taxes imposed by their local government.

We recommend checking with your local customs office before placing an order to understand potential additional costs. Please note that we cannot control or be held responsible for customs delays or associated fees.",,Spot clean with mild soap and a wet towel. vacuum the basket to keep it fresh and clean.,,,,,,,,,,,,,,,kg,,,active
set-of-3-baskets-graphite-copy,Set Of 3 Baskets- Stone,"<p><span>Transform your space with our handcrafted storage baskets that bring sophisticated organization to your bedroom, living room, or entryway. Each basket is meticulously crafted by hand, creating a unique accent piece that serves both functional and aesthetic purposes. Perfect for shelves or floor placement, these versatile baskets elevate your home's style while keeping your space beautifully organized.</span></p>",Knots Studio,Home & Garden > Decor > Baskets,Set of 3 Baskets,Basket sets,true,Title,Default Title,,,,,,,,30060stn,3000.0,shopify,deny,manual,446.00,595.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/1129/5340/files/Neta_tesler_A_lifestyle_product_photography_scene_featuring_the_exact_same_se_04900bf2-d7e5-4eda-a62e-ccf1163a7935_1.jpg?v=1773167008,1,"Modern living room with wooden floors, large windows, and decorative baskets.",false,,,573,,,,,,,,,,,,,,,,"Beech wood, Stiff foam, polyester vegan suede fabric.","L size: Diameter: 52 cm/ 20 inch. Height: 45 cm / 18 inch    
M size: Diameter: ﻿39 cm/ 15.5 inch Height: 35 cm / 13.3 inch
S size:Diameter: ﻿33 cm/ 13 inch Height: 25 cm / 10 inch",,,,"Domestic Shipping (USA) All items ship directly from our US warehouse. Once we notify you that your order has shipped, standard delivery takes 5-7 business days. With over a decade of shipping experience, we guarantee your order will arrive safely.

International Shipping We offer worldwide shipping with the following estimated delivery times:

USA- 5-7 days
Europe :5-7 days
Asia: 7-10 days
Rest of world: 7-14 business days
Returns: We accept returns within 30 days of delivery. Please note that final sale items are ineligible for return.

How to Initiate a Return: If you decide to return your item, please contact us within 30 days of delivery by emailing info@knots-studio.com. We'll send you a prepaid shipping label to make the process easy.

Return Process: Returns for store credit and exchanges are free. Items must be in new, undamaged condition. They also must be returned in original, protective packaging to ensure your return arrives safe and sound.

Once you ship the item back using our provided label and it arrives at our warehouse, our team will inspect it to ensure everything is in perfect condition.

Refunds: Once the item is collected and inspected, your refund will be processed to the original form of payment. Please note:

Return shipping costs will be deducted
A $10 processing fee applies to all refunds
Store credit and exchanges are free from these fees

Important Information for International Customers Please be aware that customs duties and import taxes may apply to US and international orders. Buyers are responsible for any applicable customs fees, import duties, or taxes imposed by their local government.

We recommend checking with your local customs office before placing an order to understand potential additional costs. Please note that we cannot control or be held responsible for customs delays or associated fees.",,Spot clean with mild soap and a wet towel. vacuum the basket to keep it fresh and clean.,,,,,,,,,,,,,,,kg,,,active
set-of-3-baskets-red-earth-copy,Set Of 3 Baskets- Graphite,"<p><span>Transform your space with our handcrafted storage baskets that bring sophisticated organization to your bedroom, living room, or entryway. Each basket is meticulously crafted by hand, creating a unique accent piece that serves both functional and aesthetic purposes. Perfect for shelves or floor placement, these versatile baskets elevate your home's style while keeping your space beautifully organized.</span></p>",Knots Studio,Home & Garden > Decor > Baskets,Set of 3 Baskets,Basket sets,true,Title,Default Title,,,,,,,,30060grf,3000.0,shopify,deny,manual,446.00,595.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/1129/5340/files/Neta_tesler_change_the_color_of_the__cream_baskets_to_the_color_of_the_gray_b_bf02473d-1cf2-4716-923a-e2dc2361c510_upscaled.png?v=1771846412,1,Woven baskets on a patterned rug in a living room setting,false,,,573,,,,,,,,,,,,,,,,"Beech wood, Stiff foam, polyester vegan suede fabric.","L size: Diameter: 52 cm/ 20 inch. Height: 45 cm / 18 inch    
M size: Diameter: ﻿39 cm/ 15.5 inch Height: 35 cm / 13.3 inch
S size:Diameter: ﻿33 cm/ 13 inch Height: 25 cm / 10 inch",,,,"Domestic Shipping (USA) All items ship directly from our US warehouse. Once we notify you that your order has shipped, standard delivery takes 5-7 business days. With over a decade of shipping experience, we guarantee your order will arrive safely.

International Shipping We offer worldwide shipping with the following estimated delivery times:

USA- 5-7 days
Europe :5-7 days
Asia: 7-10 days
Rest of world: 7-14 business days
Returns: We accept returns within 30 days of delivery. Please note that final sale items are ineligible for return.

How to Initiate a Return: If you decide to return your item, please contact us within 30 days of delivery by emailing info@knots-studio.com. We'll send you a prepaid shipping label to make the process easy.

Return Process: Returns for store credit and exchanges are free. Items must be in new, undamaged condition. They also must be returned in original, protective packaging to ensure your return arrives safe and sound.

Once you ship the item back using our provided label and it arrives at our warehouse, our team will inspect it to ensure everything is in perfect condition.

Refunds: Once the item is collected and inspected, your refund will be processed to the original form of payment. Please note:

Return shipping costs will be deducted
A $10 processing fee applies to all refunds
Store credit and exchanges are free from these fees

Important Information for International Customers Please be aware that customs duties and import taxes may apply to US and international orders. Buyers are responsible for any applicable customs fees, import duties, or taxes imposed by their local government.

We recommend checking with your local customs office before placing an order to understand potential additional costs. Please note that we cannot control or be held responsible for customs delays or associated fees.",,Spot clean with mild soap and a wet towel. vacuum the basket to keep it fresh and clean.,,,,,,,,,,,,,,,kg,,,active
set-of-3-baskets-ted-earth,Set Of 3 Baskets- Red Earth,"<p><span>Transform your space with our handcrafted storage baskets that bring sophisticated organization to your bedroom, living room, or entryway. Each basket is meticulously crafted by hand, creating a unique accent piece that serves both functional and aesthetic purposes. Perfect for shelves or floor placement, these versatile baskets elevate your home's style while keeping your space beautifully organized.</span></p>",Knots Studio,Home & Garden > Decor > Baskets,Set of 3 Baskets,Basket sets,true,Title,Default Title,,,,,,,,30060red,3000.0,shopify,deny,manual,446.00,595.00,true,false,,,,,"",https://cdn.shopify.com/s/files/1/1129/5340/files/Neta_tesler_change_the_color_of_the__cream_baskets_to_the_color_of_the_red_ba_aa21b7ee-084d-4045-b1c2-dadbc08c4e31_upscaled.png?v=1771845507,1,"",false,,,573,,,,,,,,,,,,,,,,"Beech wood, Stiff foam, polyester vegan suede fabric.","L size: Diameter: 52 cm/ 20 inch. Height: 45 cm / 18 inch    
M size: Diameter: ﻿39 cm/ 15.5 inch Height: 35 cm / 13.3 inch
S size:Diameter: ﻿33 cm/ 13 inch Height: 25 cm / 10 inch",,,,"Domestic Shipping (USA) All items ship directly from our US warehouse. Once we notify you that your order has shipped, standard delivery takes 5-7 business days. With over a decade of shipping experience, we guarantee your order will arrive safely.

International Shipping We offer worldwide shipping with the following estimated delivery times:

USA- 5-7 days
Europe :5-7 days
Asia: 7-10 days
Rest of world: 7-14 business days
Returns: We accept returns within 30 days of delivery. Please note that final sale items are ineligible for return.

How to Initiate a Return: If you decide to return your item, please contact us within 30 days of delivery by emailing info@knots-studio.com. We'll send you a prepaid shipping label to make the process easy.

Return Process: Returns for store credit and exchanges are free. Items must be in new, undamaged condition. They also must be returned in original, protective packaging to ensure your return arrives safe and sound.

Once you ship the item back using our provided label and it arrives at our warehouse, our team will inspect it to ensure everything is in perfect condition.

Refunds: Once the item is collected and inspected, your refund will be processed to the original form of payment. Please note:

Return shipping costs will be deducted
A $10 processing fee applies to all refunds
Store credit and exchanges are free from these fees

Important Information for International Customers Please be aware that customs duties and import taxes may apply to US and international orders. Buyers are responsible for any applicable customs fees, import duties, or taxes imposed by their local government.

We recommend checking with your local customs office before placing an order to understand potential additional costs. Please note that we cannot control or be held responsible for customs delays or associated fees.",,Spot clean with mild soap and a wet towel. vacuum the basket to keep it fresh and clean.,,,,,,,,,,,,,,,kg,,,active
ivory-velvet-woven-stool-copy-1,(Sample),"<p>Expertly crafted with a blend of fine velvet fabric and natural Beechwood, the hand-woven stool enhances any entryway or living space with its elegant and playful design. This lasting piece combines beauty and functionality, creating a stunning addition to your home.<strong data-mce-fragment=""1""></strong></p>",Knots Studio,Furniture > Chairs,Woven stool,"",false,Title,Default Title,,,,,,,,20017Ivr,4000.0,shopify,deny,manual,1.00,,true,true,,,,,Fals,https://cdn.shopify.com/s/files/1/1129/5340/files/ivory2copy2.jpg?v=1747515483,1,"",false,,"Expertly crafted with a blend of fine velvet fabric and natural Beechwood, the hand-woven stool enhances any entryway or living space with its elegant and playful design. This lasting piece combines beauty and functionality, creating a stunning addition to your home.",1463,,,,,,,,,,,,,,,,"Beech wood, Stiff foam, Polyester Velvet/Suede fabric","Size: Width: 44X32 cm / 17.5X12.5 inch      
 Height: 50 cm / 19.5 inch",,,,,,Spot clean with cold water and mild soap. Vacuum once a week to keep the cushion fresh and clean.                      ,,,,,,,,,,,,,,,kg,,,draft
ivory-velvet-woven-stool-copy-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1129/5340/files/ivorywovenstool4.jpg?v=1747515483,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ivory-velvet-woven-stool-copy-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1129/5340/files/ivorywovenstool5.jpg?v=1747515483,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ivory-velvet-woven-stool-copy-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1129/5340/files/ivorywovenstool6.jpg?v=1747515483,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
printed-throw-pillows-oceane-colors,Printed Throw pillows- Oceane Colors,"<p><meta charset=""utf-8"">Inspired by classic tablecloths, the Knot prints blend the aesthetics of weaving and knotting with traditional tablecloth designs. The result is vibrant, two-sided prints that make a bold statement in any space.</p>",Knots Studio,Home & Garden > Decor > Throw Pillows,pill,"",true,Title,Default Title,,,,,,,,,300.0,shopify,deny,manual,72.50,,true,false,,,,,Fals,https://cdn.shopify.com/s/files/1/1129/5340/files/lifestyle-shot-758f87d4-061a-493a-b34b-917c8dda9ee2.jpg?v=1762434623,1,"",false,,,,,,,,,,,,,,,,,,,100% cotton,"16""X16""X6""",,,,,,Machine wash cold (30°C). Do not tumble dry. Air dry in shade.,,,,,,,,,,,,,,,kg,,,active
printed-throw-pillows-oceane-colors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1129/5340/files/UntitledSession292445_SMALL_19908957-ea2b-4e73-85ca-28704e307418.jpg?v=1762434636,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
